year,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,million_60kgs_bag,nonbear_mill_trees,bear_mill_trees,avg_unemp_perc
2022,22.8,65.0,0.0,974.5,24.5,1500.0,6010.0,7.15
2023,24.4,71.0,0.0,975.2,28.5,1510.0,6100.0,
